Category,Match_Score,Extracted_Skills
INFORMATION-TECHNOLOGY,4.253230817137036,"['sql', 'aws', 'communication', 'leadership']"
INFORMATION-TECHNOLOGY,4.249985353565617,"['sql', 'excel']"
TEACHER,4.249840147974279,"['excel', 'communication']"
BANKING,4.248576425862841,"['sql', 'excel', 'communication', 'leadership']"
PUBLIC-RELATIONS,4.226343363707555,"['communication', 'leadership']"
TEACHER,4.223582284221552,"['excel', 'communication', 'leadership']"
TEACHER,4.220303001821931,['communication']
ENGINEERING,4.218962777780943,['excel']
DIGITAL-MEDIA,4.2155184584369225,"['sql', 'aws']"
FITNESS,4.201470149571167,['excel']
ENGINEERING,4.173448920837204,"['python', 'sql', 'excel', 'communication', 'react']"
DESIGNER,4.168617237983112,"['excel', 'communication', 'leadership']"
INFORMATION-TECHNOLOGY,4.1449958997401835,"['java', 'sql']"
AVIATION,4.137797506014153,"['excel', 'communication', 'leadership']"
HEALTHCARE,4.136937607672613,"['excel', 'communication', 'leadership']"
HR,4.129503933584877,"['communication', 'leadership']"
ARTS,4.12571788194705,['excel']
CONSULTANT,4.102614458356558,"['communication', 'leadership']"
CONSTRUCTION,4.095821051646761,"['aws', 'communication', 'leadership']"
ACCOUNTANT,4.082578735015498,['communication']
CHEF,4.0820100432513176,['communication']
HR,4.079565637974925,"['excel', 'communication', 'data analysis']"
INFORMATION-TECHNOLOGY,4.073888006290752,"['sql', 'communication', 'leadership']"
APPAREL,4.067257533086349,['excel']
SALES,4.066907240692853,"['sql', 'excel', 'communication']"
BANKING,4.063031203255115,"['excel', 'communication']"
INFORMATION-TECHNOLOGY,4.061066100657221,"['sql', 'excel', 'communication']"
TEACHER,4.0546538883760554,"['excel', 'leadership']"
AGRICULTURE,4.045216671924635,"['communication', 'leadership']"
FITNESS,4.038076298888855,['communication']
TEACHER,4.037638419510231,"['excel', 'communication', 'leadership']"
ARTS,4.0301706221508224,"['excel', 'communication', 'leadership']"
HEALTHCARE,4.028006283823196,"['sql', 'tableau', 'excel', 'communication', 'data analysis']"
CONSULTANT,4.018165171072694,"['java', 'sql', 'excel', 'communication', 'leadership']"
BANKING,4.015263443344671,"['excel', 'communication']"
AUTOMOBILE,4.012097712108627,"['sql', 'excel', 'leadership']"
INFORMATION-TECHNOLOGY,4.01152332784147,"['sql', 'communication', 'leadership', 'data analysis']"
BUSINESS-DEVELOPMENT,3.987636088316309,"['leadership', 'data analysis']"
BPO,3.9876018450357735,"['excel', 'communication']"
INFORMATION-TECHNOLOGY,3.9858593628203485,"['excel', 'communication']"
FINANCE,3.983832252695178,"['java', 'excel', 'communication', 'leadership']"
ENGINEERING,3.9775304840366497,"['python', 'sql', 'communication']"
AVIATION,3.9493548481688032,[]
FINANCE,3.938414353651519,"['sql', 'excel', 'data analysis']"
INFORMATION-TECHNOLOGY,3.936416829641446,"['sql', 'leadership']"
SALES,3.9295252258357576,"['excel', 'communication', 'leadership']"
HR,3.924802499832622,"['excel', 'communication', 'leadership', 'data analysis']"
TEACHER,3.9208203582142693,['communication']
HEALTHCARE,3.918425311223034,"['excel', 'communication', 'leadership', 'data analysis']"
ADVOCATE,3.9119612298890454,[]
ARTS,3.9033399461702167,"['excel', 'communication']"
AGRICULTURE,3.89678580207099,['excel']
TEACHER,3.889790775684152,[]
BANKING,3.88739142599482,"['excel', 'communication']"
TEACHER,3.8837107500199335,"['excel', 'communication']"
TEACHER,3.883601607748563,"['excel', 'communication']"
TEACHER,3.879271706425386,[]
SALES,3.8789466869369202,"['excel', 'communication']"
INFORMATION-TECHNOLOGY,3.8770947022313944,"['excel', 'communication', 'leadership', 'data analysis']"
ENGINEERING,3.8550919328067828,"['python', 'excel']"
BANKING,3.8535642370840257,"['sql', 'communication', 'leadership']"
AUTOMOBILE,3.8419234480107005,"['excel', 'communication']"
BUSINESS-DEVELOPMENT,3.841567833816088,['excel']
BANKING,3.8384371807512703,"['sql', 'excel', 'communication']"
ENGINEERING,3.8319587631521523,"['excel', 'leadership']"
HR,3.830732217888156,"['excel', 'communication', 'data analysis']"
INFORMATION-TECHNOLOGY,3.8257905571441944,"['java', 'sql', 'excel', 'communication']"
ADVOCATE,3.820870428951731,"['excel', 'communication', 'leadership']"
INFORMATION-TECHNOLOGY,3.8167667232341183,"['excel', 'communication', 'leadership']"
HR,3.815906087882068,"['excel', 'communication', 'leadership']"
BUSINESS-DEVELOPMENT,3.8129102929283025,"['excel', 'communication']"
TEACHER,3.8107291858069416,"['excel', 'communication', 'leadership']"
ACCOUNTANT,3.81066761160187,"['excel', 'communication']"
CONSTRUCTION,3.787766768448163,"['excel', 'communication']"
FINANCE,3.751719389609852,"['sql', 'excel', 'aws', 'communication', 'leadership']"
ENGINEERING,3.7377739248361297,"['excel', 'communication', 'leadership']"
FITNESS,3.7261639477130264,"['excel', 'communication', 'leadership']"
TEACHER,3.717591325936514,"['communication', 'leadership']"
TEACHER,3.7170032836666795,"['communication', 'leadership']"
CONSULTANT,3.7089188760283593,"['excel', 'communication', 'leadership']"
AVIATION,3.6955543466267224,"['excel', 'communication']"
AUTOMOBILE,3.690874850303775,"['excel', 'communication']"
ADVOCATE,3.680858326044307,"['excel', 'communication']"
DESIGNER,3.6788648045683514,"['excel', 'communication']"
TEACHER,3.6763286974564044,['communication']
FITNESS,3.6757606896373853,"['excel', 'communication']"
HEALTHCARE,3.6738199488842382,"['excel', 'communication']"
INFORMATION-TECHNOLOGY,3.671919922661119,"['python', 'excel']"
CHEF,3.6639216903363,"['communication', 'leadership', 'data analysis']"
PUBLIC-RELATIONS,3.6466284337515824,"['communication', 'leadership']"
SALES,3.6420653062605237,"['excel', 'communication']"
ACCOUNTANT,3.6382539367011595,['communication']
FINANCE,3.6378824107486136,"['excel', 'communication', 'leadership', 'data analysis']"
TEACHER,3.637292743717071,"['excel', 'communication']"
ENGINEERING,3.6369208616096675,['communication']
PUBLIC-RELATIONS,3.619045560392129,"['excel', 'communication']"
ENGINEERING,3.613124422660621,['aws']
APPAREL,3.6025039414952187,"['excel', 'communication']"
AVIATION,3.5997841617650197,"['excel', 'communication']"
APPAREL,3.598080927023291,"['excel', 'communication']"
PUBLIC-RELATIONS,3.59438631627133,"['communication', 'leadership']"
BUSINESS-DEVELOPMENT,3.5890852430843534,"['excel', 'communication']"
TEACHER,3.5813148301720705,"['communication', 'leadership']"
CONSTRUCTION,3.5736378663919584,"['excel', 'communication']"
SALES,3.565677336891511,"['communication', 'leadership']"
ENGINEERING,3.5620134302423945,"['java', 'sql', 'excel', 'communication', 'leadership']"
ARTS,3.5583267648202326,"['excel', 'communication', 'leadership']"
HEALTHCARE,3.547170004883591,"['excel', 'communication', 'leadership']"
FINANCE,3.539080315427977,"['excel', 'communication']"
FINANCE,3.539080315427977,"['excel', 'communication']"
ADVOCATE,3.5384422620718405,"['excel', 'communication', 'leadership']"
SALES,3.5355830702585718,"['excel', 'communication']"
ADVOCATE,3.5354324786198528,"['excel', 'communication', 'leadership']"
CONSULTANT,3.5277523580640646,"['sql', 'communication', 'data analysis']"
FINANCE,3.524434649904614,"['excel', 'communication', 'data analysis']"
INFORMATION-TECHNOLOGY,3.523633354230625,"['sql', 'excel', 'communication', 'leadership']"
BUSINESS-DEVELOPMENT,3.5234130901981437,"['excel', 'communication', 'leadership']"
CONSTRUCTION,3.519220939708355,"['excel', 'communication']"
SALES,3.517879024415359,"['excel', 'communication']"
AGRICULTURE,3.515979537502888,"['leadership', 'data analysis']"
HEALTHCARE,3.505196208307324,['communication']
ENGINEERING,3.493428755344979,"['excel', 'communication', 'leadership']"
DIGITAL-MEDIA,3.4850069679526787,"['excel', 'communication']"
SALES,3.4828268748354554,"['excel', 'communication', 'leadership']"
ACCOUNTANT,3.47499527926314,"['excel', 'communication']"
INFORMATION-TECHNOLOGY,3.4744619974226176,[]
CONSTRUCTION,3.471942317172368,"['excel', 'leadership']"
ENGINEERING,3.470770793352758,['python']
APPAREL,3.451413924532593,"['excel', 'leadership']"
BANKING,3.434482540156429,['communication']
AVIATION,3.432200935902733,"['java', 'excel', 'communication']"
AGRICULTURE,3.4260049905121055,"['excel', 'leadership']"
ENGINEERING,3.425639672030935,"['excel', 'communication', 'leadership']"
FITNESS,3.4133747633576164,"['python', 'sql', 'excel', 'communication']"
FINANCE,3.406078919423435,['excel']
TEACHER,3.404164637911246,['excel']
ENGINEERING,3.4032385925203736,"['java', 'sql', 'excel', 'communication']"
SALES,3.3911729988093025,"['excel', 'communication', 'leadership']"
CONSULTANT,3.388094802130244,"['excel', 'communication']"
BPO,3.383259258325645,['excel']
AVIATION,3.370750090650101,"['aws', 'communication', 'leadership']"
TEACHER,3.369200865774561,['excel']
AVIATION,3.3649206389707835,"['excel', 'communication']"
SALES,3.3607429912565476,"['excel', 'communication', 'leadership']"
BUSINESS-DEVELOPMENT,3.3596952806893023,['communication']
ARTS,3.3577847235514775,"['excel', 'communication', 'leadership']"
TEACHER,3.3554764683577853,['excel']
CHEF,3.355038622274061,"['excel', 'leadership']"
HEALTHCARE,3.3545220450138005,"['java', 'sql', 'excel', 'communication']"
AUTOMOBILE,3.351914870795542,"['sql', 'excel', 'leadership', 'data analysis']"
TEACHER,3.3409116957886758,"['excel', 'communication', 'leadership']"
ENGINEERING,3.3397176151422103,['java']
APPAREL,3.3294211460932623,"['excel', 'communication', 'leadership']"
SALES,3.326067578530935,['communication']
TEACHER,3.325625995261762,"['excel', 'communication', 'leadership']"
FITNESS,3.3240470926065706,['communication']
ENGINEERING,3.319134883764521,"['excel', 'communication']"
DESIGNER,3.318825320179925,['aws']
ADVOCATE,3.3133168932806982,"['excel', 'communication']"
CONSTRUCTION,3.3093196234983884,"['excel', 'leadership']"
AUTOMOBILE,3.3084859280420673,"['excel', 'communication']"
PUBLIC-RELATIONS,3.3011371206948006,"['excel', 'communication', 'leadership']"
FINANCE,3.294898640031057,"['excel', 'communication', 'leadership']"
DIGITAL-MEDIA,3.293912034347267,"['excel', 'communication', 'leadership']"
SALES,3.2923645881995145,"['excel', 'communication']"
CONSTRUCTION,3.2806038996197384,"['excel', 'communication', 'leadership']"
CONSULTANT,3.2739666773146054,"['sql', 'leadership']"
HR,3.267823630077755,"['excel', 'communication', 'leadership']"
ARTS,3.2677655246879462,"['excel', 'communication']"
ARTS,3.260227173727987,"['excel', 'leadership']"
CONSTRUCTION,3.2561872275735495,[]
CONSULTANT,3.252083287764053,"['sql', 'communication', 'leadership']"
ACCOUNTANT,3.251487227143257,[]
ACCOUNTANT,3.249799427566838,"['excel', 'communication', 'leadership']"
PUBLIC-RELATIONS,3.2387186363360723,"['communication', 'leadership']"
ADVOCATE,3.2342048562351025,['communication']
HR,3.2333277345349507,"['excel', 'communication']"
ADVOCATE,3.2321893120294884,['excel']
TEACHER,3.2310256769501695,['communication']
HR,3.2307184028851625,"['excel', 'communication', 'leadership']"
AGRICULTURE,3.2298210280459405,['excel']
FITNESS,3.2279346778174034,['communication']
CHEF,3.218236441525991,"['excel', 'communication']"
ADVOCATE,3.214491733692907,"['java', 'sql', 'excel', 'aws', 'communication', 'react']"
DESIGNER,3.2006439020868047,[]
SALES,3.1985820696399485,['communication']
HR,3.1946202356047984,"['excel', 'communication', 'leadership']"
AVIATION,3.188736188980798,['communication']
BANKING,3.1808102763812047,"['python', 'java', 'excel', 'leadership', 'data analysis']"
FITNESS,3.1742102282165634,"['excel', 'leadership']"
CONSTRUCTION,3.1740344550245143,"['excel', 'communication', 'leadership', 'react']"
TEACHER,3.171190394165964,"['excel', 'communication', 'leadership', 'data analysis']"
